123	application/vnd.lotus-1-2-3
323	text/h323
3dm	x-world/x-3dmf
3dmf	x-world/x-3dmf
3dml	text/vnd.in3d.3dml
3g2	video/3gpp
3gp	video/3gp
3gpp	audio/3gp
7z	application/x-7z-compressed
aab	application/x-authorware-bin
aac	audio/x-aac
aam	application/x-authorware-map
aas	application/x-authorware-map
abc	text/vnd.abc
abw	application/x-abiword
ac	application/pkix-attr-cert
acc	application/vnd.americandynamics.acc
ace	application/x-ace-compressed
acgi	text/html
acu	application/vnd.acucobol
acutc	application/vnd.acucorp
adp	audio/adpcm
adr	application/x-msaddr
aep	application/vnd.audiograph
afl	video/animaflex
afm	application/x-font-type1
afp	application/vnd.ibm.modcap
ahead	application/vnd.ahead.space
ai	application/postscript
aif	audio/x-aiff
aifc	audio/x-aiff
aiff	audio/x-aiff
aim	application/x-aim
aip	text/x-audiosoft-intra
air	application/vnd.adobe.air-application-installer-package+zip
ait	application/vnd.dvb.ait
alt	application/x-up-alert
amc	application/x-mpeg
ami	application/vnd.amiga.ami
ani	application/x-navi-animation
anx	application/annodex
aos	application/x-nokia-9000-communicator-add-on-software
apk	application/vnd.android.package-archive
application	application/x-ms-application
apr	application/vnd.lotus-approach
aps	application/mime
arj	application/arj
art	image/x-jg
asc	text/plain
asd	application/astound
asf	video/x.ms.asf
asm	text/x-asm
asn	application/astound
aso	application/vnd.accpac.simply.aso
asp	text/asp
asx	video/x.ms.asx
asz	application/astound
atc	application/vnd.acucorp
atom	application/atom+xml
atomcat	application/atomcat+xml
atomsvc	application/atomsvc+xml
atx	application/vnd.antix.game-component
au	audio/basic
avi	video/avi
avs	video/avs-video
aw	application/applixware
axa	audio/annodex
axs	application/olescript
axv	video/annodex
azf	application/vnd.airzip.filesecure.azf
azs	application/vnd.airzip.filesecure.azs
azw	application/vnd.amazon.ebook
bas	text/plain
bat	text/plain
bcf	application/vnd.belarc-cf
bci	application/vnd.belarc-bci
bcpio	application/x-bcpio
bdf	application/x-font-bdf
bdm	application/vnd.syncml.dm+wbxml
bed	application/vnd.realvnc.bed
bh2	application/vnd.fujitsu.oasysprs
bild	image/jpeg
bin	application/x-binary
bm	image/bmp
bmi	application/vnd.bmi
bmp	image/bmp
boo	application/book
book	application/book
